Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role,AuctionPrice,AcquisitionType
RA Jadeja (CSK),CSK,36,India,301,33.44,135.58,0,2,10,32.4,8.56,All-Rounder,14.0,Retained
RA Tripathi (CSK),CSK,34,Afghanistan,55,11,96.49,0,0,0,0,0,Batsman,0.8,Bought
RD Gaikwad (CSK),CSK,28,England,122,24.4,150.61,0,2,0,0,0,Batsman,18.0,Retained
RD Rickelton (MI),MI,28,South Africa,388,29.84,150.97,0,3,0,0,0,Wicketkeeper,1.0,Retained
RG Sharma (MI),MI,37,India,418,29.85,149.28,0,4,0,0,0,Batsman,16.3,Retained
RJ Gleeson (MI),MI,37,England,0,0,0,0,0,1,39,11.14,Bowler,N/A,Replacement
RK Singh (KKR),KKR,27,India,206,29.42,153.73,0,0,0,0,0,Batsman,13.0,Retained
RM Patidar (RCB),RCB,31,India,312,24,143.77,0,2,0,0,0,Batsman,11.0,Retained
RR Pant (LSG),LSG,27,India,269,24.45,133.16,1,1,0,0,0,Wicketkeeper,27.0,Retained
Rahmanullah Gurbaz (KKR),KKR,23,England,74,18.5,139.62,0,0,0,0,0,Wicketkeeper,N/A,Unsold
Ramandeep Singh (KKR),KKR,27,India,47,9.4,134.28,0,0,0,0,0,Batsman,13.0,Retained
Rashid Khan (GT),GT,26,India,40,8,142.85,0,0,9,57.11,9.34,Bowler,18.0,Retained
Rasikh Salam (RCB),RCB,24,India,0,0,0,0,0,1,70,11.66,Bowler,6.0,Retained
Ravi Bishnoi (LSG),LSG,24,Sri Lanka,13,6.5,81.25,0,0,9,44.55,10.83,Bowler,7.2,Bought
S Dube (CSK),CSK,31,India,357,32.45,132.22,0,1,0,0,0,Batsman,12.0,Retained
SA Yadav (MI),MI,34,India,717,65.18,167.91,0,5,0,0,0,Batsman,16.4,Retained
SB Dubey (RR),RR,30,India,106,26.5,160.6,0,0,0,0,0,Batsman,0.8,Retained
SE Rutherford (GT),GT,26,West Indies,291,32.33,157.29,0,0,0,0,0,Batsman,2.6,Retained
SH Johnson (KKR),KKR,29,India,2,-,50,0,0,1,133,11.73,Bowler,N/A,Replacement
SK Rasheed (CSK),CSK,20,England,71,14.2,112.69,0,0,0,0,0,Batsman,N/A,N/A
SM Curran (CSK),CSK,26,India,114,22.8,135.71,0,1,1,133,11.08,Batsman,2.4,Retained
SN Thakur (LSG),LSG,33,India,18,6,150,0,0,13,28.84,11.02,Bowler,2.0,Retained
SO Hetmyer (RR),RR,28,West Indies,239,21.72,145.73,0,1,0,0,0,Batsman,11.0,Retained
SP Narine (KKR),KKR,36,West Indies,246,22.36,170.83,0,0,12,29.25,7.8,All-Rounder,12.0,Retained
SS Iyer (PBKS),PBKS,30,India,604,50.33,175.07,0,6,0,0,0,Batsman,26.8,Retained
SV Samson (RR),RR,30,India,285,35.62,140.39,0,1,0,0,0,Wicketkeeper,18.0,Retained
Sameer Rizvi (DC),DC,21,England,121,40.33,153.16,0,1,0,0,0,Batsman,0.9,Retained
Sandeep Sharma (RR),RR,31,New Zealand,6,-,120,0,0,9,40.11,9.89,Bowler,4.0,Retained
