Player,Team,Age,Nationality,Mat,Inns,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,SR,100,50,0,4s,6s
DA Miller (LSG),LSG,35,South Africa,11,11,6,153,27*,30.6,120,127.5,0,0,0,13,4
DC Jurel (RR),RR,24,India,14,13,4,333,70,37,213,156.33,0,2,1,22,22
DJ Hooda (CSK),CSK,29,Sri Lanka,7,5,0,31,22,6.2,41,75.6,0,0,1,2,1
DL Chahar (MI),MI,32,India,14,4,3,37,28*,37,25,148,0,0,1,3,2
DP Conway (CSK),CSK,33,South Africa,6,6,0,156,69,26,119,131.09,0,2,1,17,4
F du Plessis (DC),DC,40,India,9,9,0,202,62,22.44,163,123.92,0,2,0,18,8
Fazalhaq Farooqi (RR),RR,24,Australia,5,1,1,2,2*,-,2,100,0,0,0,0,0
G Coetzee (GT),GT,24,Australia,4,2,0,17,12,8.5,11,154.54,0,0,0,2,1
GJ Maxwell (PBKS),PBKS,36,India,7,6,0,48,30,8,49,97.95,0,0,1,5,1
H Klaasen (SRH),SRH,33,South Africa,14,13,2,487,105*,44.27,282,172.69,1,1,0,42,25
Harpreet Brar (PBKS),PBKS,29,India,8,2,1,11,7*,11,13,84.61,0,0,0,0,1
Harshit Rana (KKR),KKR,23,South Africa,13,7,3,57,34,14.25,53,107.54,0,0,0,5,3
HH Pandya (MI),MI,31,India,15,12,3,224,48*,24.88,137,163.5,0,0,0,18,12
HV Patel (SRH),SRH,34,England,13,4,2,21,12*,10.5,26,80.76,0,0,0,0,0
Ishan Kishan (SRH),SRH,26,India,14,13,3,354,106*,35.4,232,152.58,1,1,1,33,15
J Fraser-McGurk (DC),DC,22,India,6,6,0,55,38,9.16,52,105.76,0,0,2,7,2
J Overton (CSK),CSK,30,India,3,2,2,15,11*,-,7,214.28,0,0,0,1,1
JC Archer (RR),RR,30,Australia,12,7,1,63,30,10.5,50,126,0,0,2,3,4
JC Buttler (GT),GT,34,England,14,13,4,538,97*,59.77,330,163.03,0,5,1,52,24
JG Bethell (RCB),RCB,21,India,2,2,0,67,55,33.5,39,171.79,0,1,0,9,3
JM Bairstow (MI),MI,35,West Indies,2,2,0,85,47,42.5,46,184.78,0,0,0,7,5
JM Sharma (RCB),RCB,31,India,15,11,4,261,85*,37.28,148,176.35,0,1,0,24,17
JP Inglis (PBKS),PBKS,30,Australia,11,11,2,278,73,30.88,171,162.57,0,1,0,26,16
K Kartikeya (RR),RR,27,Afghanistan,4,2,0,3,2,1.5,5,60,0,0,0,0,0
K Nitish Kumar Reddy (SRH),SRH,21,India,13,11,3,182,32,22.75,153,118.95,0,0,1,16,4
K Rabada (GT),GT,29,India,4,2,1,9,7*,9,8,112.5,0,0,0,0,1
KH Pandya (RCB),RCB,34,India,15,7,1,109,73*,18.16,86,126.74,0,1,1,9,4
KK Nair (DC),DC,33,India,8,8,0,198,89,24.75,115,172.17,0,1,2,24,10
KL Rahul (DC),DC,32,India,13,13,3,539,112*,53.9,360,149.72,1,3,0,52,21
KT Maphaka (RR),RR,18,India,2,1,1,8,8*,-,2,400,0,0,0,2,0
Kuldeep Yadav (DC),DC,30,India,14,5,2,18,7,6,16,112.5,0,0,0,2,0
KV Sharma (MI),MI,37,India,6,1,1,1,1*,-,1,100,0,0,0,0,0
LH Ferguson (PBKS),PBKS,33,Australia,4,1,1,4,4*,-,1,400,0,0,0,1,0
