Player,Role,PlayerValueScore,AuctionPrice,AcquisitionType
RD Rickelton (MI),Wicketkeeper,50.7,1.0,Retained
DC Jurel (RR),Wicketkeeper,49.8,14.0,Retained
K Kartikeya (RR),Bowler,49.5,N/A,Unsold
NT Ellis (CSK),Bowler,49.5,2.0,Retained
T Stubbs (DC),Batsman,48.9,N/A,Retained
RR Pant (LSG),Wicketkeeper,48.3,27.0,Retained
D Brevis (CSK),Batsman,48.2,2.2,Retained
JM Sharma (RCB),Wicketkeeper,48.0,11.0,Retained
A Mhatre (CSK),Batsman,47.9,0.3,Retained
N Wadhera (PBKS),Batsman,47.9,4.2,Retained
AR Patel (DC),All-Rounder,47.8,16.5,Retained
XC Bartlett (PBKS),Bowler,47.7,0.8,Retained
A Badoni (LSG),Batsman,46.9,4.0,Retained
V Vyshak (PBKS),Bowler,46.4,1.8,Retained
NT Tilak Varma (MI),Batsman,45.5,8.0,Retained
W O'Rourke (LSG),Bowler,45.4,N/A,Unsold
A Madhwal (RR),Bowler,45.3,N/A,Replacement
Naman Dhir (MI),Batsman,45.2,5.2,Retained
JP Inglis (PBKS),Wicketkeeper,44.5,8.6,Bought
S Dube (CSK),Batsman,44.3,12.0,Retained
Mohammed Shami (SRH),Bowler,43.5,10.0,Retained
Yudhvir Singh (RR),Bowler,43.5,0.3,Retained
SE Rutherford (GT),Batsman,43.4,2.6,Retained
PVD Chameera (DC),Bowler,43.2,0.8,Retained
AD Russell (KKR),All-Rounder,43.1,N/A,N/A
SV Samson (RR),Wicketkeeper,42.9,18.0,Retained
A Raghuvanshi (KKR),Batsman,42.8,3.0,Retained
RM Patidar (RCB),Batsman,42.3,11.0,Retained
I Sharma (GT),Bowler,41.9,0.8,Retained
M Shahrukh Khan (GT),Batsman,41.7,4.0,Retained
AU Verma (SRH),Batsman,41.3,0.3,Retained
D Padikkal (RCB),Batsman,41.2,2.0,Retained
Abishek Porel (DC),Wicketkeeper,41.2,4.0,Retained
RJ Gleeson (MI),Bowler,40.8,N/A,Replacement
JM Bairstow (MI),Wicketkeeper,40.7,N/A,Unsold
Prince Yadav (LSG),Bowler,40.4,0.3,Retained
KK Nair (DC),Batsman,39.8,0.5,Retained
AR Sharma (DC),Batsman,39.8,3.8,Retained
N Rana (RR),Batsman,39.5,4.2,Retained
MP Stoinis (PBKS),Batsman,39.3,11.0,Retained
KT Maphaka (RR),Bowler,38.2,1.5,Retained
Sameer Rizvi (DC),Batsman,38.1,0.9,Retained
RK Singh (KKR),Batsman,37.5,13.0,Retained
UM Patel (CSK),Batsman,37.5,0.3,Retained
A Zampa (SRH),Bowler,37.0,N/A,N/A
SO Hetmyer (RR),Batsman,36.7,11.0,Retained
G Coetzee (GT),Bowler,36.0,N/A,Replacement
JG Bethell (RCB),Batsman,36.0,2.6,Retained
Abdul Samad (LSG),Batsman,35.9,4.2,Retained
MK Pandey (KKR),Batsman,35.3,0.8,Retained
Washington Sundar (GT),Batsman,34.8,3.2,Retained
V Shankar (CSK),Batsman,33.9,N/A,Unsold
RD Gaikwad (CSK),Batsman,33.7,18.0,Retained
R Ravindra (CSK),Batsman,33.3,2.0,Bought
F du Plessis (DC),Batsman,32.9,N/A,N/A
DP Conway (CSK),Wicketkeeper,32.9,N/A,Unsold
SB Dubey (RR),Batsman,32.4,0.8,Retained
MS Dhoni (CSK),Wicketkeeper,32.3,4.0,Retained
