Player,BaseValue,MI_Value,CSK_Value,RCB_Value,RR_Value,KKR_Value,GT_Value,LSG_Value,PBKS_Value,DC_Value,SRH_Value
JC Archer (RR),65.5,65.5,75.32,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5
V Puthur (MI),65.4,75.21,71.94,65.4,65.4,65.4,65.4,65.4,65.4,78.48,65.4
Avesh Khan (LSG),65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,71.61,65.1
M Theekshana (RR),64.6,74.29,64.6,64.6,64.6,64.6,64.6,64.6,64.6,77.52,64.6
Mukesh Kumar (DC),64.3,64.3,80.38,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3
SN Thakur (LSG),63.8,63.8,79.75,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8
V Sooryavanshi (RR),63.1,85.19,69.41,72.56,82.03,63.1,63.1,63.1,72.56,75.72,72.56
Prabhsimran Singh (PBKS),62.8,78.5,69.08,78.5,62.8,62.8,62.8,62.8,78.5,75.36,78.5
GJ Maxwell (PBKS),62.7,62.7,78.38,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7
LH Ferguson (PBKS),62.5,62.5,71.88,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Akash Singh (LSG),61.4,70.61,67.54,61.4,73.68,61.4,61.4,61.4,61.4,73.68,61.4
Ashwani Kumar (MI),61.2,70.38,67.32,61.2,73.44,61.2,61.2,61.2,61.2,73.44,61.2
R Ashwin (CSK),60.5,60.5,75.62,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5
Sandeep Sharma (RR),59.8,59.8,68.77,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8
HS Dubey (SRH),59.7,68.66,65.67,59.7,71.64,59.7,59.7,59.7,59.7,71.64,59.7
Ishan Kishan (SRH),59.5,65.45,65.45,68.42,59.5,59.5,59.5,71.4,74.38,65.45,68.42
Suyash Sharma (RCB),59.3,68.19,65.23,59.3,71.16,59.3,59.3,59.3,59.3,71.16,59.3
SP Narine (KKR),59.2,65.12,68.08,68.08,59.2,59.2,71.04,59.2,68.08,59.2,68.08
PD Salt (RCB),58.2,64.02,58.2,72.75,58.2,58.2,58.2,69.84,72.75,64.02,72.75
PHKD Mendis (SRH),58.1,58.1,63.91,58.1,58.1,58.1,58.1,58.1,58.1,63.91,58.1
Rashid Khan (GT),57.8,57.8,63.58,57.8,57.8,57.8,57.8,57.8,57.8,63.58,57.8
AK Markram (LSG),57.6,63.36,66.24,63.36,57.6,57.6,57.6,57.6,63.36,57.6,63.36
Azmatullah Omarzai (PBKS),57.5,66.12,57.5,57.5,57.5,57.5,57.5,57.5,57.5,69.0,57.5
RA Jadeja (CSK),57.1,57.1,71.38,57.1,57.1,57.1,68.52,57.1,62.81,57.1,57.1
KA Jamieson (PBKS),56.9,56.9,65.43,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9
TU Deshpande (RR),56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8
L Ngidi (RCB),56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2
KH Pandya (RCB),56.1,56.1,70.12,56.1,56.1,56.1,61.71,56.1,56.1,56.1,56.1
Shashank Singh (PBKS),56.1,61.71,70.12,64.52,56.1,56.1,56.1,56.1,70.12,56.1,64.52
HH Pandya (MI),55.7,61.27,69.62,64.05,55.7,55.7,66.84,55.7,64.05,55.7,64.05
R Shepherd (RCB),54.7,54.7,68.38,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7
TH David (RCB),54.2,59.62,59.62,62.33,54.2,54.2,54.2,54.2,62.33,54.2,62.33
Arshad Khan (GT),53.8,53.8,59.18,53.8,53.8,53.8,53.8,53.8,53.8,59.18,53.8
Ravi Bishnoi (LSG),53.8,61.87,53.8,53.8,53.8,53.8,53.8,53.8,53.8,64.56,53.8
RG Sharma (MI),53.4,58.74,66.75,58.74,53.4,53.4,53.4,53.4,58.74,53.4,58.74
C Bosch (MI),53.1,53.1,66.38,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1
TM Head (SRH),52.3,57.53,60.14,60.14,52.3,52.3,52.3,52.3,65.38,52.3,60.14
V Nigam (DC),52.2,65.25,57.42,60.03,62.64,52.2,57.42,52.2,60.03,62.64,60.03
AM Rahane (KKR),52.2,57.42,65.25,52.2,52.2,52.2,52.2,52.2,57.42,52.2,52.2
P Dubey (PBKS),52.0,52.0,65.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
M Siddharth (LSG),52.0,52.0,57.2,52.0,52.0,52.0,52.0,52.0,52.0,57.2,52.0
R Parag (RR),51.7,69.8,56.87,59.45,67.21,51.7,51.7,51.7,64.62,62.04,59.45
WG Jacks (MI),51.4,51.4,51.4,51.4,51.4,51.4,61.68,51.4,51.4,56.54,51.4
K Khejroliya (GT),51.2,51.2,64.0,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2
Zeeshan Ansari (SRH),50.8,58.42,55.88,50.8,50.8,50.8,50.8,50.8,50.8,60.96,50.8
RD Rickelton (MI),50.7,55.77,50.7,58.3,50.7,50.7,50.7,60.84,63.38,55.77,58.3
DC Jurel (RR),49.8,62.25,54.78,57.27,49.8,49.8,49.8,59.76,62.25,59.76,57.27
K Kartikeya (RR),49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,54.45,49.5
NT Ellis (CSK),49.5,49.5,56.92,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5
T Stubbs (DC),48.9,61.12,48.9,56.23,48.9,48.9,48.9,48.9,61.12,58.68,56.23
RR Pant (LSG),48.3,48.3,53.13,48.3,48.3,48.3,48.3,53.13,48.3,53.13,48.3
D Brevis (CSK),48.2,65.07,48.2,55.43,62.66,48.2,48.2,48.2,55.43,57.84,55.43
JM Sharma (RCB),48.0,52.8,60.0,55.2,48.0,48.0,48.0,52.8,55.2,48.0,55.2
A Mhatre (CSK),47.9,64.67,52.69,55.08,62.27,47.9,47.9,47.9,55.08,57.48,55.08
N Wadhera (PBKS),47.9,59.88,52.69,47.9,47.9,47.9,47.9,47.9,52.69,57.48,47.9
AR Patel (DC),47.8,52.58,59.75,54.97,47.8,47.8,57.36,47.8,54.97,47.8,54.97
